Date,Unnamed: 0_sum,sentiment_sum
2018-05-21,83825,0.8166666666666664
2018-05-22,16753,1.6
2018-05-23,142239,-1.4483333333333335
2018-05-24,91883,0.01666666666666694
2018-05-25,150093,3.6050000000000004
2018-05-26,83245,-2.05
2018-05-27,49899,0.29833333333333356
2018-05-28,83085,1.9683333333333333
2018-05-29,58100,-3.4904761904761905
2018-05-30,82915,-0.405
2018-05-31,132456,-2.2833333333333337
2018-06-01,49605,-1.2750000000000001
2018-06-02,140352,-3.8061904761904763
2018-06-03,41225,-1.7499999999999998
2018-06-04,98838,-2.8533333333333335
2018-06-05,147987,5.911666666666667
2018-06-06,147663,1.4440476190476197
2018-06-07,163690,2.1433333333333335
2018-06-08,49029,-1.79
2018-06-09,106106,2.2
2018-06-11,89650,1.6
2018-06-12,97662,-0.47738095238095235
2018-06-13,138108,-0.6265476190476191
2018-06-14,56784,0.7964285714285715
2018-06-15,153881,-1.2724999999999997
2018-06-16,48519,0.8904761904761903
2018-06-17,113071,3.9733333333333336
2018-06-18,96762,-1.6444444444444446
2018-06-19,72477,-0.9125000000000002
2018-06-20,128648,3.966666666666667
2018-06-21,152437,6.600238095238097
2018-06-22,120090,0.6600000000000001
2018-06-23,207623,-0.4133333333333331
2018-06-24,39850,-3.0333333333333337
2018-06-25,167097,-3.2961111111111108
2018-06-26,95286,-1.6866666666666668
2018-06-27,134742,4.663333333333334
2018-06-28,110747,-1.8009523809523809
2018-06-29,39505,-1.44
2018-06-30,110481,1.0800000000000003
2018-07-01,31530,-0.5750000000000001
2018-07-02,23637,2.35
2018-07-03,165207,2.9738888888888892
2018-07-04,31418,1.5
2018-07-05,47097,1.225
2018-07-06,47061,1.1944444444444442
2018-07-07,70524,-0.8828571428571428
2018-07-08,39145,1.45
2018-07-09,54761,1.635
2018-07-10,140589,1.2950000000000002
2018-07-11,140265,-2.1300000000000003
2018-07-12,77785,2.683333333333333
2018-07-13,31086,0.525
2018-07-14,93162,1.7833333333333334
2018-07-15,100763,-2.091666666666667
2018-07-16,92862,1.8833333333333335
2018-07-17,38650,0.975
2018-07-18,115800,6.611428571428571
2018-07-19,100178,-1.6214285714285719
2018-07-20,107695,0.020238095238095166
2018-07-21,46095,-0.9166666666666665
2018-07-22,61404,-3.09
2018-07-23,76665,-4.343571428571429
2018-07-24,122456,5.430833333333334
2018-07-25,114570,5.016666666666667
2018-07-26,91494,3.9142857142857146
2018-07-27,121768,5.203333333333333
2018-07-28,22803,0.17499999999999993
2018-07-29,136629,-0.47499999999999964
2018-07-30,106043,6.166666666666665
2018-07-31,143602,2.568333333333334
2018-08-01,105581,-0.833333333333333
2018-08-02,97864,4.282539682539682
2018-08-03,75165,4.633333333333333
