"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"84","-1.95026197947407","-1.66167096553203","0.592370041040441",NA,"-1.00652096798855","2017-05-03"
"85","-1.96283205258845","-1.6936970134197","0.641402740844385",NA,"-1.00504210838792","2017-05-04"
"86","-1.67187623827226","-1.68555919116744","0.703395480566063",NA,"-0.884679982957879","2017-05-05"
"87","-1.67467901504997","-1.64864590794192","0.629867034070221",NA,"-0.897819296307226","2017-05-08"
"88","-1.45351402230612","-1.50965052770834","0.630546486705811",NA,"-0.777539354436217","2017-05-09"
"89","-1.41029759224226","-1.51052415745664","0.581411803358644",NA,"-0.779803315446754","2017-05-10"
"90","-1.24342604461391","-1.50266550423552","0.607400816167608",NA,"-0.712896910893938","2017-05-11"
"91","-1.36658425609227","-1.494819005627","0.838297721589647",NA,"-0.674368513376543","2017-05-12"
"92","-1.38148469532066","-1.4488462563224","0.834379386199085",NA,"-0.665317188481326","2017-05-15"
"93","-1.042172832515","-1.33691653252057","1.29803323059886",NA,"-0.360352044812237","2017-05-16"
"94","-1.36287309145218","-1.47829169054341","0.856545323004244",NA,"-0.661539819663783","2017-05-17"
"95","-1.14188461866205","-1.45446296670568","1.00155239082592",NA,"-0.531598398180603","2017-05-18"
"96","-1.16345820502476","-1.37084070659341","1.26924882047628",NA,"-0.421683363713964","2017-05-19"
"97","-1.21997972864743","-1.3061508333","1.17826497265172",NA,"-0.449288529765236","2017-05-22"
"98","-1.26947593268224","-1.38319273786293","0.958342373014887",NA,"-0.564775432510094","2017-05-23"
"99","-1.22699052742876","-1.38831251595215","0.63869057764193",NA,"-0.658870821912994","2017-05-24"
"100","-1.24814217705765","-1.35342722869989","0.607400816167608",NA,"-0.664722863196643","2017-05-25"
"101","-1.22933156861653","-1.33818469934886","0.706074382796022",NA,"-0.62048062838979","2017-05-26"
"102","-1.23636894866122","-1.34156783705471","0.43823281478998",NA,"-0.713234656975316","2017-05-30"
"103","-1.29700668088928","-1.40327353148419","0.556670331597214",NA,"-0.714536626925421","2017-05-31"
"104","-1.28859512158362","-1.33903021569304","0.459328725091193",NA,"-0.722765537395157","2017-06-01"
"105","-1.25641689008998","-1.33226905543807","0.560801747976524",NA,"-0.675961399183842","2017-06-02"
"106","-1.29941493446224","-1.2801620861949","0.83045758876916",NA,"-0.583039810629328","2017-06-05"
"107","-1.24814217705765","-1.31161631119779","0.912199043970197",NA,"-0.549186481428412","2017-06-06"
"108","-1.042172832515","-1.26888477197094","0.861747485898556",NA,"-0.483103372862461","2017-06-07"
"109","-0.972578344685987","-0.614672803315408","0.81867562718812",NA,"-0.256191840271092","2017-06-08"
"110","-1.18982826454007","-0.722578720121817","0.473345981870018",NA,"-0.479687000930622","2017-06-09"
"111","-1.25523297456599","-0.736130270332502","0.494301488157434",NA,"-0.499020585580353","2017-06-12"
"112","-1.33216125743295","-0.830449387949343","0.558047692314299",NA,"-0.534854317689331","2017-06-13"
"113","-1.33582661651879","-0.827764052905335","0.345822496090554",NA,"-0.605922724444523","2017-06-14"
"114","-1.38647167862961","-0.889108221673491","0.314172245330498",NA,"-0.653802551657533","2017-06-15"
"115","-1.30423908731858","-0.897264502498241","0.395784308717136",NA,"-0.601906427033228","2017-06-16"
"116","-1.21531714432472","-0.721451041462739","0.509616097159812",NA,"-0.475717362875883","2017-06-19"
"117","-1.27782264727335","-0.762581094998223","0.535962724847762",NA,"-0.501480339141269","2017-06-20"
"118","-1.17832857870446","-0.579801880803245","0.646822586399648",NA,"-0.370435957702686","2017-06-21"
"119","-1.13511049860747","-0.617251151429334","0.677878630468321",NA,"-0.358161006522828","2017-06-22"
"120","-1.01302651685436","-0.590055500698115","0.734119162429882",NA,"-0.289654285040864","2017-06-23"
"121","-1.05414657610044","-0.600329251070918","0.738113668520106",NA,"-0.305454052883751","2017-06-26"
"122","-1.1081989425361","-0.644589133316283","0.419880637525995",NA,"-0.444302479442128","2017-06-27"
"123","-1.08599407839501","-0.555711370243489","0.54563657607305",NA,"-0.365356290855149","2017-06-28"
"124","-1.1396244800423","-0.671325641405198","0.421294405767835",NA,"-0.46321857189322","2017-06-29"
"125","-1.10931443853142","-0.667976265032782","0.405719641938525",NA,"-0.457190353875225","2017-06-30"
"126","-1.0694699073639","-0.664628469428232","0.402882875563126",NA,"-0.443738500409668","2017-07-03"
"127","-0.856062761056478","-0.522314571373435","0.562178582843156",NA,"-0.272066249862252","2017-07-05"
"128","-0.834002441932898","-0.619831321200002","0.661698814169185",NA,"-0.264044982987905","2017-07-06"
"129","-0.800291687237039","-0.61135937833736","0.723453010073569",NA,"-0.22939935183361","2017-07-07"
"130","-0.650320182960171","-0.560812168895227","0.916060187817736",NA,"-0.0983573880125537","2017-07-10"
"131","-0.603495890753733","-0.488409899514712","0.96089401405239",NA,"-0.0436705920720182","2017-07-11"
"132","-0.537978054957516","-0.374958450394137","1.05945203024004",NA,"0.0488385082961273","2017-07-12"
"133","-0.443269171345145","-0.356695186153003","0.918631964796803",NA,"0.0395558690995514","2017-07-13"
"134","-0.402685092853007","-0.276325199529632","0.996487192565272",NA,"0.105825633394211","2017-07-14"
"135","-0.427971956588197","-0.297082587297145","0.928908690230948",NA,"0.0679513821152022","2017-07-17"
"136","-0.422893938658832","-0.210449240409985","1.07570007514318",NA,"0.147452298691455","2017-07-18"
"137","-0.401846628395141","-0.230946923720552","1.07570007514318",NA,"0.14763550767583","2017-07-19"
"138","-0.370193752783108","-0.266666604069882","1.11671955335164",NA,"0.15995306549955","2017-07-20"
"139","-0.172237014687109","-0.274254098120291","1.09687079707265",NA,"0.216793228088416","2017-07-21"
"140","-0.0383952219208157","-0.26149985511109","1.31832740856693",NA,"0.339477443845008","2017-07-24"
"141","-0.185260065310205","-0.255305982020732","1.32547083203788",NA,"0.294968261568981","2017-07-25"
"142","-0.136585373709406","-0.141351483477365","1.32070938955386",NA,"0.347590844122362","2017-07-26"
"143","0.0124693362147063","-0.196828847215809","1.22213399437234",NA,"0.345924827790411","2017-07-27"
"144","-0.074118897965473","-0.0821277857133443","1.32666081923756",NA,"0.390138045186246","2017-07-28"
"145","-0.166132377720357","-0.169693254851643","1.31117375337943",NA,"0.325116040269145","2017-07-31"
"146","-0.163846730097445","-0.177141558027538","1.44196018596923",NA,"0.366990632614748","2017-08-01"
"147","-0.312116082935759","-0.273563705713606","1.30759350428238",NA,"0.240637905211006","2017-08-02"
"148","-0.234911365810164","-0.225130719083495","1.38462729868937",NA,"0.308195071265236","2017-08-03"
"149","-0.199896553705975","-0.22478898735274","1.32547083203788",NA,"0.300261763659721","2017-08-04"
"150","-0.123066265634209","-0.039712582162736","1.55136007829001",NA,"0.462860410164354","2017-08-07"
"151","-0.115587331811802","-0.084124379698019","1.52966200030846",NA,"0.44331676293288","2017-08-08"
"152","-0.053642163523378","-0.0844570639660744","1.47791033076893",NA,"0.44660370109316","2017-08-09"
"153","-0.163085544796248","-0.278397154001839","1.1463513611469",NA,"0.234956220782939","2017-08-10"
"154","-0.144127831253454","-0.280815792165935","1.08816380004222",NA,"0.221073392207609","2017-08-11"
"155","-0.166894500898459","-0.181208545460807","1.38815569858735",NA,"0.346684217409361","2017-08-14"
"156","-0.261699512131593","-0.0758099729565085","1.34684432858828",NA,"0.336444947833393","2017-08-15"
"157","0.0539560845120336","-0.0179754366465767","1.33379290412088",NA,"0.456591183995445","2017-08-16"
"158","-0.088110776296758","0.125318956459968","1.32070938955386",NA,"0.452639189905689","2017-08-17"
"159","-0.0529140539655212","0.238577000088576","1.29803323059886",NA,"0.494565392240639","2017-08-18"
"160","-0.00818028941091743","0.293062679954925","1.44661293169828",NA,"0.577165107414096","2017-08-21"
"161","-0.693327583896051","0.452000750068208","0.270702994588682",NA,"0.00979205358694614","2017-08-22"
"162","-0.453520043401065","0.492111804664552","0.374430608741779",NA,"0.137674123335089","2017-08-23"
"163","-0.461236245139016","0.468201680360851","0.548397297964707",NA,"0.185120911062181","2017-08-24"
"164","-0.660536843379297","0.369624919771658","0.207761840739827",NA,"-0.0277166942892708","2017-08-25"
"165","-0.629093690187667","0.263555116737168","-0.0502975078806768",NA,"-0.138612027110392","2017-08-28"
"166","-0.662399034292347","0.235759635988758","-0.0194505697142868",NA,"-0.148696656005958","2017-08-29"
"167","-0.640145804541616","0.354646436709667","0.277973290786462",NA,"-0.00250869234849567","2017-08-30"
"168","-0.604405549919555","0.369624919771658","0.623749375602671",NA,"0.129656248484925","2017-08-31"
"169","-0.456089324085179","0.348213814271143","0.578667999326996",NA,"0.156930829837653","2017-09-01"
"170","-0.401008447921855","0.313773860152687","0.541492625061875",NA,"0.151419345764236","2017-09-05"
"171","-0.451808613302621","0.258568898958065","0.495695189481053",NA,"0.100818491712165","2017-09-06"
"172","-0.270428640358584","0.331022133312165","0.526271411512873",NA,"0.195621634822151","2017-09-07"
"173","-0.235695205986373","0.285313595078283","0.511005874675914",NA,"0.186874754589274","2017-09-08"
"174","-0.189872562542762","0.439967273021687","0.571803804157685",NA,"0.273966171545537","2017-09-11"
"175","0.0131785383987915","0.477479704372415","0.547017399081702",NA,"0.345891880617636","2017-09-12"
"176","0.181032351464107","0.585797435088168","0.455116528630347",NA,"0.407315438394207","2017-09-13"
"177","0.121365222286791","0.530734613150713","0.381557984603152",NA,"0.344552606680219","2017-09-14"
