"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined"
"131",-0.0634583975697939,-0.0222163347712072,0.151619278969599,NA,0.0219815155428661
"132",-0.0588610491966628,-0.0180333373966711,0.170481721736691,NA,0.0311957783811191
"133",-0.0519965059209694,-0.0173514646684571,0.143638994887494,NA,0.0247636747660225
"134",-0.0489735877812145,-0.0143224021258055,0.158390377009292,NA,0.0316981290340907
"135",-0.0508629053208151,-0.0151091801662913,0.145573618884393,NA,0.0265338444657623
"136",-0.0504850468510919,-0.0118047401954636,0.173625531776003,NA,0.0371119149098159
"137",-0.0489106103199696,-0.0125915182359494,0.173625531776003,NA,0.0373744677400281
"138",-0.0465174730904097,-0.0139552440231232,0.181605815858109,NA,0.0403776995815252
"139",-0.030836072644939,-0.0142437290423779,0.177736469636362,NA,0.0442188893163483
"140",-0.0195001359186042,-0.0137585593476289,0.221748950692183,NA,0.0628300851419832
"141",-0.0319067020815944,-0.0135225191168083,0.223199826601156,NA,0.0592568684675843
"142",-0.0278761508596674,-0.0091297307869829,0.2222325268812,NA,0.0617422150781831
"143",-0.0150287424679629,-0.0112802346146426,0.202402784394152,NA,0.0586979357705154
"144",-0.0225860378173502,-0.00680875222085166,0.223441712923612,NA,0.0646823076284701
"145",-0.0303322655504721,-0.0102312037837462,0.220297976555261,NA,0.0599115024070144
"146",-0.030143314273499,-0.0105196874917173,0.247140703404459,NA,0.0688259005464141
"147",-0.0420460670442762,-0.0142174968135337,0.219572538600775,NA,0.0544363249143217
"148",-0.0359372533035215,-0.0123685829736402,0.235291171328555,NA,0.0623284450171311
"149",-0.0331032675475012,-0.0123554766938452,0.223199826601156,NA,0.0592470274532697
"150",-0.0267425502595132,-0.00513031180814611,0.270114157702871,NA,0.0794137652117371
"151",-0.0261127630515719,-0.00688742661556284,0.265519471754586,NA,0.0775064273624836
"152",-0.0208226563070009,-0.0069005328953578,0.254637239398638,NA,0.075638016732093
"153",-0.0300803494077464,-0.0144010765205167,0.187409614177845,NA,0.0476427294165274
"154",-0.028505912876624,-0.0144928755529935,0.176043731961919,NA,0.0443483145107673
"155",-0.0303952304162247,-0.010677034969856,0.236016682954002,NA,0.0649814725226406
"156",-0.0380784869858479,-0.00655960571023612,0.227552749011919,NA,0.0609715521052784
"157",-0.0113130659567681,-0.00426485937294912,0.224892588832585,NA,0.069771554500956
"158",-0.023782603283257,0.00153101161065994,0.2222325268812,NA,0.0666603117362008
"159",-0.0207596851435021,0.00622540959750575,0.217637840932915,NA,0.0677011884623061
"160",-0.016855095141811,0.00852015593479275,0.248108027681402,NA,0.0799243628247945
"161",-0.0695672176082947,0.0153519527807868,0.0290133641480214,NA,-0.00840063355982881
"162",-0.0527522354559081,0.0171090675882035,0.0464249310061403,NA,0.00359392104614526
"163",-0.0533190389048582,0.0160600367573072,0.0764113696667014,NA,0.0130507891730501
