Date,Close,Open,Day High,Day Low,delta,range
2017-09-29,57.548,57.9467,58.1032,57.475,-0.39869999999999806,0.6281999999999996
2017-10-02,57.9001,57.3625,57.9875,57.3043,0.5376000000000047,0.6831999999999994
2017-10-03,57.9341,57.748000000000005,58.1661,57.748000000000005,0.18609999999999616,0.4180999999999955
2017-10-04,57.6858,57.9334,57.9906,57.5288,-0.2475999999999985,0.46180000000000376
2017-10-05,57.7224,57.6814,57.7492,57.3834,0.04100000000000392,0.3658000000000001
2017-10-06,58.1583,57.7225,58.265,57.64,0.4358000000000004,0.625
2017-10-09,58.272,58.1501,58.5071,57.9973,0.12189999999999657,0.5097999999999985
2017-10-10,57.9896,58.2626,58.3133,57.7903,-0.27299999999999613,0.5229999999999961
2017-10-11,57.81,57.9918,58.068999999999996,57.6352,-0.18179999999999552,0.43379999999999797
2017-10-12,57.7188,57.8109,57.8477,57.4884,-0.09209999999999496,0.3593000000000046
2017-10-13,57.273,57.7187,57.7922,57.0583,-0.4456999999999951,0.7338999999999984
2017-10-16,57.2941,57.266000000000005,57.3805,56.913999999999994,0.028099999999994907,0.46650000000000347
2017-10-17,57.3095,57.2942,57.5454,56.913999999999994,0.015300000000003422,0.6314000000000064
2017-10-18,57.4119,57.3099,57.5046,56.7574,0.10200000000000387,0.7472000000000065
2017-10-19,57.2809,57.4109,57.73,57.2583,-0.12999999999999545,0.47169999999999845
2017-10-20,57.4825,57.2808,57.6385,57.1559,0.20170000000000243,0.4825999999999979
2017-10-23,57.5327,57.5561,57.6115,57.288000000000004,-0.023400000000002308,0.3234999999999957
2017-10-24,57.6459,57.5356,57.7034,57.376000000000005,0.11029999999999518,0.32739999999999725
2017-10-25,57.7539,57.6458,57.8155,57.42,0.10810000000000031,0.3954999999999984
2017-10-26,57.8657,57.7538,57.8915,57.48,0.11189999999999856,0.41150000000000375
2017-10-27,58.0284,57.8656,58.7701,57.64,0.16279999999999717,1.1300999999999988
2017-10-30,57.9348,58.1297,58.266999999999996,57.6626,-0.19489999999999696,0.6043999999999983
2017-10-31,58.3392,57.9347,58.6062,57.882,0.40449999999999875,0.7242000000000033
2017-11-01,58.2481,58.3391,58.406000000000006,58.0288,-0.09100000000000108,0.3772000000000091
2017-11-02,58.2882,58.2482,58.445,57.708999999999996,0.04000000000000625,0.7360000000000042
2017-11-03,59.0239,58.288000000000004,59.2775,58.058,0.7358999999999938,1.2195000000000036
2017-11-04,59.055,59.055,59.055,59.055,0.0,0.0
2017-11-06,58.2921,59.0096,59.175,58.205,-0.7175000000000011,0.9699999999999989
2017-11-07,59.3765,58.2897,59.44,58.146,1.0867999999999967,1.293999999999997
2017-11-08,59.2302,59.3766,59.5842,59.074,-0.14639999999999986,0.5102000000000046
2017-11-09,59.3171,59.2169,59.435,59.07,0.10020000000000095,0.365000000000002
2017-11-10,59.187,59.358999999999995,59.365,58.9738,-0.17199999999999704,0.3912000000000049
2017-11-13,59.3959,59.2542,59.5992,59.07,0.14170000000000016,0.529200000000003
2017-11-14,60.4255,59.3958,60.5127,59.224,1.0296999999999983,1.2887000000000057
2017-11-15,60.2067,60.324,60.4608,60.0256,-0.11730000000000018,0.4352000000000018
2017-11-16,59.6995,60.2068,60.2189,59.5796,-0.5073000000000008,0.6392999999999986
2017-11-17,58.9636,59.6994,59.7568,58.872,-0.7357999999999976,0.8847999999999985
2017-11-18,58.9636,58.9636,58.9636,58.9636,0.0,0.0
2017-11-20,59.4336,59.13399999999999,59.5805,58.982,0.2996000000000052,0.5985000000000014
2017-11-21,59.1015,59.4314,59.5396,59.0892,-0.329899999999995,0.4504000000000019
2017-11-22,58.4321,59.1017,59.1835,58.3836,-0.6696000000000026,0.7999000000000009
2017-11-23,58.4559,58.4314,58.535,58.278,0.024500000000003297,0.2569999999999979
2017-11-24,58.3927,58.4533,58.7435,58.251999999999995,-0.060600000000000875,0.49150000000000205
2017-11-27,58.4676,58.4099,58.5275,58.0445,0.057699999999996976,0.4830000000000041
